NAME               INSTALLED  FIXED IN  TYPE    VULNERABILITY        SEVERITY  EPSS         RISK   
starlette          0.50.0     1.0.1     python  GHSA-86qp-5c8j-p5mr  Medium    1.4% (69th)  0.8    
black              26.1.0     26.3.1    python  GHSA-3936-cmfr-pm3m  High      0.6% (43rd)  0.5    
pyjwt              2.10.1     2.13.0    python  GHSA-xgmm-8j9v-c9wx  High      0.4% (31st)  0.3    
starlette          0.50.0     1.1.0     python  GHSA-wqp7-x3pw-xc5r  High      0.4% (28th)  0.3    
starlette          0.50.0     1.3.1     python  GHSA-82w8-qh3p-5jfq  High      0.3% (19th)  0.2    
pyjwt              2.10.1     2.12.0    python  GHSA-752w-5fwx-jx9f  High      0.3% (18th)  0.2    
pyjwt              2.10.1     2.13.0    python  GHSA-w7vc-732c-9m39  Medium    0.3% (20th)  0.1    
starlette          0.50.0     1.1.0     python  GHSA-x746-7m8f-x49c  Medium    0.2% (11th)  0.1    
pyjwt              2.10.1     2.13.0    python  GHSA-993g-76c3-p5m4  Medium    0.2% (7th)   < 0.1  
pytest             9.0.2      9.0.3     python  GHSA-6w46-j5rx-g56g  Medium    0.1% (3rd)   < 0.1  
pyjwt              2.10.1     2.13.0    python  GHSA-fhv5-28vv-h8m8  Low       0.2% (12th)  < 0.1  
pyjwt              2.10.1     2.13.0    python  GHSA-jq35-7prp-9v3f  Medium    0.1% (2nd)   < 0.1  
starlette          0.50.0     1.3.0     python  GHSA-jp82-jpqv-5vv3  Low       0.2% (8th)   < 0.1  
pydantic-settings  2.12.0     2.14.2    python  GHSA-4xgf-cpjx-pc3j  Medium    N/A          N/A
